"filename", "language", "Markdown", "C#", "XML", "MS SQL", "ASP.NET Razor", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Program.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 5, 4, 22
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\ApiService.cs", "C#", 0, 251, 0, 0, 0, 0, 0, 4, 24, 279
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\InvoiceNumberGeneratorService.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 22, 7, 71
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\LoadingManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\NotificationManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\SessionManager.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\StockService.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\TokenManager.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Services\UserService.cs", "C#", 0, 168, 0, 0, 0, 0, 0, 0, 19, 187
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\PRODUCT_MODULE_DOCUMENTATION.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 21, 105
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\README.md", "Markdown", 484, 0, 0, 0, 0, 0, 0, 0, 125, 609
"Total", "-", 772, 40794, 44, 651, 10996, 41090, 27069, 12141, 14209, 147766
