"filename", "language", "C#", "XML", "Markdown", "PostCSS", "ASP.NET Razor", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\AuthController.cs", "C#", 163, 0, 0, 0, 0, 0, 0, 4, 27, 194
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\CariAccountController.cs", "C#", 207, 0, 0, 0, 0, 0, 0, 17, 38, 262
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\DashboardController.cs", "C#", 96, 0, 0, 0, 0, 0, 0, 9, 13, 118
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\ProductController.cs", "C#", 267, 0, 0, 0, 0, 0, 0, 1, 29, 297
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\PurchaseInvoiceController.cs", "C#", 276, 0, 0, 0, 0, 0, 0, 19, 46, 341
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\SalesInvoiceController.cs", "C#", 264, 0, 0, 0, 0, 0, 0, 17, 43, 324
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\StockController.cs", "C#", 837, 0, 0, 0, 0, 0, 0, 9, 94, 940
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\UserController.cs", "C#", 209, 0, 0, 0, 0, 0, 0, 8, 21, 238
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Helpers\CurrencyHelper.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 15, 5, 41
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\MiniERP.Web.csproj", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\ModelBinders\DecimalModelBinder.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 21, 4, 37
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\ApiResponse.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\CariAccountModels.cs", "C#", 123, 0, 0, 0, 0, 0, 0, 0, 26, 149
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\ErrorViewModel.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\InvoiceModels.cs", "C#", 269, 0, 0, 0, 0, 0, 0, 0, 79, 348
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\PaymentModels.cs", "C#", 156, 0, 0, 0, 0, 0, 0, 0, 37, 193
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\ProductModels.cs", "C#", 143, 0, 0, 0, 0, 0, 0, 0, 34, 177
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\StockModels.cs", "C#", 285, 0, 0, 0, 0, 0, 0, 5, 66, 356
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\UserModels.cs", "C#", 105, 0, 0, 0, 0, 0, 0, 0, 22, 127
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Program.cs", "C#", 52, 0, 0, 0, 0, 0, 0, 9, 16, 77
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\ApiService.cs", "C#", 125, 0, 0, 0, 0, 0, 0, 4, 19, 148
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\AuthService.cs", "C#", 84, 0, 0, 0, 0, 0, 0, 5, 20, 109
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\CariAccountService.cs", "C#", 179, 0, 0, 0, 0, 0, 0, 2, 29, 210
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\InvoiceNumberGeneratorService.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 27, 8, 81
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\PaymentService.cs", "C#", 287, 0, 0, 0, 0, 0, 0, 3, 38, 328
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\ProductService.cs", "C#", 152, 0, 0, 0, 0, 0, 0, 3, 32, 187
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\PurchaseInvoiceService.cs", "C#", 197, 0, 0, 0, 0, 0, 0, 2, 31, 230
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\SalesInvoiceService.cs", "C#", 197, 0, 0, 0, 0, 0, 0, 2, 31, 230
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\StockService.cs", "C#", 414, 0, 0, 0, 0, 0, 0, 4, 46, 464
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\UserService.cs", "C#", 190, 0, 0, 0, 0, 0, 0, 3, 23, 216
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\ApiTest\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 151, 0, 0, 0, 12, 163
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\ApiTest\TestResult.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 189, 0, 0, 0, 15, 204
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Auth\AccessDenied.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Auth\Login.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 155, 0, 0, 0, 15, 170
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Create.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 143, 0, 0, 0, 10, 153
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\CustomerSupplierList.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 236, 0, 0, 0, 5, 241
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Delete.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 134, 0, 0, 0, 7, 141
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Details.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 197, 0, 0, 1, 12, 210
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Edit.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 156, 0, 0, 0, 11, 167
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 303, 0, 0, 0, 10, 313
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Statement.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 236, 0, 0, 0, 12, 248
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Transactions.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 221, 0, 0, 0, 7, 228
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Dashboard\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 364, 0, 0, 0, 17, 381
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Home\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Home\Privacy.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Create.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 177, 0, 0, 0, 12, 189
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Details.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 172, 0, 0, 0, 10, 182
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Edit.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 191, 0, 0, 0, 13, 204
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 304, 0, 0, 5, 12, 321
