"filename", "language", "C#", "ASP.NET Razor", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Transfer.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\UpdateStock.cshtml", "ASP.NET Razor", 0, 9, 0, 0, 0, 1, 10
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Create.cshtml", "ASP.NET Razor", 0, 236, 0, 0, 0, 23, 259
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Details.cshtml", "ASP.NET Razor", 0, 210, 0, 0, 0, 15, 225
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Edit.cshtml", "ASP.NET Razor", 0, 184, 0, 0, 0, 16, 200
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Index.cshtml", "ASP.NET Razor", 0, 23, 0, 0, 0, 4, 27
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\_ViewImports.cshtml", "ASP.NET Razor", 0, 1, 0, 0, 0, 1, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\CariAccountDto.cs", "C#", -3, 0, 0, 0, 0, 2, -1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\CommonDto.cs", "C#", 20, 0, 0, 0, 0, 4, 24
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\DashboardDto.cs", "C#", 22, 0, 0, 0, 0, 2, 24
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\ProductDto.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\PurchaseInvoiceDto.cs", "C#", 2, 0, 0, 0, 2, 2, 6
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\SalesInvoiceDto.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\StockDto.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\StockInfoDto.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\UpdateStockDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\UserDto.cs", "C#", 40, 0, 0, 0, 1, 7, 48
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\WarehouseDto.cs", "C#", 0, 0, 0, 0, 0, 2, 2
